item_price_level_user_occ_prob,6
item_collected_level,6
item_city_id_item_prob,6
shop_review_num_level_user_occ_prob,6
item_brand_id_item_cnt,6
shop_review_num_level_user_cnt,6
normal_shop,6
user_star_level_user_prob,5
shop_star_level_user_cnt,5
item_collected_level_price_cnt,5
item_pv_level_user_gender_prob,5
user_occupation_id,4
item_category_list2,4
item_pv_level,3
item_brand_id_item_prob,3
item_id_shop_rev_cnt,3
user_age_level_user_prob,3
item_price_level_item_cnt,3
item_city_id_shop_prob,3
user_gender_id_user_prob,2
context_page0,2
item_city_id_item_cnt,2
len_item_category,1
item_pv_level_price_cnt,1
item_price_level_item_prob,1
gender0,0
user_occupation_id_user_prob,0
item_id_shop_cnt,0
star0,0
user_gender_id,0
shop_score_delivery0,0
age0,0
occupation0,0
